5.188.86.207	#Count: 1352
5.188.86.180	#Count: 1285
5.188.86.212	#Count: 1244
5.188.86.178	#Count: 1188
5.188.86.167	#Count: 1098
5.188.86.216	#Count: 979
5.188.86.221	#Count: 938
5.188.86.169	#Count: 909
45.227.255.207	#Count: 876
5.188.86.210	#Count: 866
45.227.255.206	#Count: 856
5.188.86.165	#Count: 818
5.188.87.53	#Count: 794
5.188.87.57	#Count: 787
5.188.62.236	#Count: 763
5.188.87.60	#Count: 754
5.188.87.49	#Count: 743
5.188.86.219	#Count: 735
5.188.86.206	#Count: 734
5.188.87.51	#Count: 703
5.188.87.58	#Count: 671
5.188.86.168	#Count: 642
45.227.255.161	#Count: 606
45.227.255.209	#Count: 539
178.62.252.131	#Count: 500
45.227.255.205	#Count: 490
5.182.39.63	#Count: 308
5.182.39.62	#Count: 272
5.182.39.61	#Count: 241
185.232.67.40	#Count: 227
45.227.255.208	#Count: 181
78.128.113.157	#Count: 179
78.128.113.150	#Count: 173
185.232.67.42	#Count: 153
5.182.39.64	#Count: 100
52.152.130.178	#Count: 55
141.98.80.98	#Count: 29
5.188.62.240	#Count: 27
45.227.255.204	#Count: 25
141.98.81.154	#Count: 25
81.161.63.254	#Count: 22
81.161.63.251	#Count: 15
23.95.222.188	#Count: 12
45.227.255.157	#Count: 10
185.232.67.38	#Count: 10
159.65.194.150	#Count: 10
45.227.255.158	#Count: 9
45.227.255.201	#Count: 8
195.3.147.47	#Count: 6
193.105.134.45	#Count: 6
114.67.168.173	#Count: 4
195.54.160.250	#Count: 3
157.90.150.237	#Count: 3
94.23.179.199	#Count: 2
92.81.222.217	#Count: 2
91.126.18.130	#Count: 2
90.3.50.161	#Count: 2
82.65.173.65	#Count: 2
81.71.91.18	#Count: 2
81.71.68.54	#Count: 2
81.70.220.67	#Count: 2
81.68.83.82	#Count: 2
81.68.242.64	#Count: 2
80.20.133.206	#Count: 2
80.11.253.8	#Count: 2
78.46.46.131	#Count: 2
78.40.108.103	#Count: 2
68.183.236.92	#Count: 2
67.207.89.15	#Count: 2
65.151.188.94	#Count: 2
