5.188.87.49	#Count: 1192
5.188.86.178	#Count: 1158
5.188.86.207	#Count: 1097
45.227.255.207	#Count: 1078
5.188.86.221	#Count: 1042
5.188.86.206	#Count: 1027
5.188.86.210	#Count: 991
5.188.62.14	#Count: 934
5.188.87.58	#Count: 838
5.188.86.167	#Count: 831
5.188.86.168	#Count: 830
5.188.87.51	#Count: 800
5.188.86.165	#Count: 786
5.188.86.169	#Count: 775
5.188.86.219	#Count: 772
5.188.87.60	#Count: 770
5.188.87.57	#Count: 756
5.188.87.53	#Count: 752
45.227.255.206	#Count: 746
5.188.86.212	#Count: 714
5.188.86.216	#Count: 702
5.188.86.180	#Count: 687
45.227.255.209	#Count: 612
45.227.255.205	#Count: 452
45.227.255.161	#Count: 306
185.232.67.40	#Count: 260
5.182.39.64	#Count: 223
5.182.39.61	#Count: 199
78.128.113.157	#Count: 183
78.128.113.150	#Count: 181
5.182.39.63	#Count: 169
185.232.67.42	#Count: 155
45.227.255.208	#Count: 81
5.182.39.62	#Count: 71
87.251.77.206	#Count: 53
5.182.39.88	#Count: 53
5.182.39.185	#Count: 48
5.188.62.8	#Count: 46
141.98.80.98	#Count: 29
141.98.81.154	#Count: 25
45.227.255.204	#Count: 19
45.227.255.157	#Count: 16
45.227.255.201	#Count: 9
81.68.244.151	#Count: 8
45.227.255.158	#Count: 8
45.155.205.86	#Count: 8
45.155.205.87	#Count: 7
195.3.147.47	#Count: 6
193.105.134.45	#Count: 6
176.117.195.128	#Count: 6
213.39.55.13	#Count: 4
13.82.147.112	#Count: 4
89.179.122.7	#Count: 3
81.161.63.252	#Count: 3
94.23.179.199	#Count: 2
91.134.143.172	#Count: 2
91.121.67.151	#Count: 2
91.106.193.72	#Count: 2
87.110.181.30	#Count: 2
82.64.170.170	#Count: 2
82.196.3.36	#Count: 2
81.70.57.192	#Count: 2
81.69.21.163	#Count: 2
81.68.207.135	#Count: 2
81.68.195.113	#Count: 2
78.46.46.131	#Count: 2
71.186.165.41	#Count: 2
66.49.84.65	#Count: 2
64.227.124.181	#Count: 2
64.225.64.215	#Count: 2
58.87.108.247	#Count: 2
54.38.215.29	#Count: 2
54.37.224.163	#Count: 2
54.37.156.188	#Count: 2
51.77.109.98	#Count: 2
51.38.48.127	#Count: 2
51.38.129.120	#Count: 2
5.135.94.191	#Count: 2
51.210.15.107	#Count: 2
51.195.148.74	#Count: 2
50.244.113.98	#Count: 2
49.51.189.10	#Count: 2
49.51.180.194	#Count: 2
49.235.146.95	#Count: 2
49.234.235.127	#Count: 2
49.233.195.154	#Count: 2
49.232.172.221	#Count: 2
46.254.25.251	#Count: 2
46.105.29.160	#Count: 2
46.101.149.23	#Count: 2
45.155.207.82	#Count: 2
42.200.206.225	#Count: 2
42.194.158.19	#Count: 2
37.187.0.20	#Count: 2
36.74.75.31	#Count: 2
35.196.182.146	#Count: 2
222.240.1.0	#Count: 2
222.122.82.135	#Count: 2
222.112.220.12	#Count: 2
219.154.81.150	#Count: 2
218.51.205.132	#Count: 2
213.158.29.179	#Count: 2
212.233.112.134	#Count: 2
210.182.169.26	#Count: 2
206.189.111.208	#Count: 2
202.36.55.19	#Count: 2
201.182.181.39	#Count: 2
200.91.160.238	#Count: 2
195.36.209.249	#Count: 2
194.204.194.11	#Count: 2
194.147.115.86	#Count: 2
193.70.91.79	#Count: 2
193.70.88.213	#Count: 2
193.27.229.200	#Count: 2
191.232.241.128	#Count: 2
190.85.67.171	#Count: 2
190.64.213.156	#Count: 2
190.104.235.8	#Count: 2
1.85.36.252	#Count: 2
178.128.52.193	#Count: 2
172.96.251.203	#Count: 2
172.96.189.71	#Count: 2
170.84.224.240	#Count: 2
170.106.159.113	#Count: 2
167.71.224.234	#Count: 2
164.68.113.112	#Count: 2
164.163.24.13	#Count: 2
164.132.70.6	#Count: 2
164.132.103.232	#Count: 2
159.89.199.80	#Count: 2
159.75.21.36	#Count: 2
159.192.143.249	#Count: 2
157.231.113.130	#Count: 2
151.80.38.19	#Count: 2
149.202.63.237	#Count: 2
149.202.251.68	#Count: 2
149.202.175.11	#Count: 2
149.129.36.10	#Count: 2
144.34.193.83	#Count: 2
142.112.81.183	#Count: 2
140.143.206.191	#Count: 2
139.59.134.64	#Count: 2
139.28.222.85	#Count: 2
138.197.149.97	#Count: 2
134.175.137.69	#Count: 2
129.211.71.55	#Count: 2
128.199.15.205	#Count: 2
125.18.20.150	#Count: 2
125.141.139.9	#Count: 2
123.207.1.67	#Count: 2
122.55.190.12	#Count: 2
121.4.41.100	#Count: 2
119.29.91.153	#Count: 2
118.97.23.26	#Count: 2
118.25.184.174	#Count: 2
118.24.253.100	#Count: 2
115.231.67.2	#Count: 2
115.22.82.128	#Count: 2
114.233.51.230	#Count: 2
113.31.119.60	#Count: 2
113.31.117.196	#Count: 2
113.31.113.230	#Count: 2
111.67.193.163	#Count: 2
111.40.45.33	#Count: 2
111.34.147.247	#Count: 2
111.161.74.100	#Count: 2
109.236.91.85	#Count: 2
108.16.0.72	#Count: 2
106.54.96.55	#Count: 2
106.247.232.252	#Count: 2
106.13.6.70	#Count: 2
106.12.7.40	#Count: 2
