5.188.62.236	#Count: 1109
45.227.255.207	#Count: 1026
5.188.87.49	#Count: 1018
5.188.87.57	#Count: 1013
5.188.87.51	#Count: 993
5.188.86.210	#Count: 990
5.188.86.212	#Count: 953
5.188.87.58	#Count: 941
5.188.87.53	#Count: 892
5.188.86.167	#Count: 822
45.227.255.206	#Count: 794
5.188.86.168	#Count: 776
5.188.86.178	#Count: 769
45.227.255.209	#Count: 768
5.188.86.219	#Count: 759
5.188.86.165	#Count: 738
5.188.86.206	#Count: 719
5.188.87.60	#Count: 693
5.188.86.207	#Count: 671
5.188.86.221	#Count: 652
45.227.255.161	#Count: 637
45.227.255.205	#Count: 573
5.188.86.216	#Count: 560
5.188.86.180	#Count: 505
5.188.86.169	#Count: 485
78.46.46.131	#Count: 447
78.47.166.111	#Count: 441
78.128.113.150	#Count: 353
45.227.255.208	#Count: 313
185.232.67.40	#Count: 214
5.188.62.219	#Count: 176
185.232.67.42	#Count: 166
185.232.67.44	#Count: 162
200.7.198.66	#Count: 150
164.77.117.10	#Count: 145
67.209.185.37	#Count: 144
47.74.94.55	#Count: 144
27.124.20.63	#Count: 144
190.147.162.41	#Count: 144
103.39.116.101	#Count: 141
103.233.2.162	#Count: 140
190.89.75.21	#Count: 139
88.147.254.66	#Count: 138
46.173.191.124	#Count: 138
197.5.145.116	#Count: 138
186.206.145.119	#Count: 138
128.201.60.29	#Count: 138
104.236.21.175	#Count: 138
159.65.144.102	#Count: 137
98.143.148.45	#Count: 136
165.227.114.134	#Count: 136
128.199.150.71	#Count: 136
82.147.80.146	#Count: 133
139.186.143.194	#Count: 131
157.230.128.135	#Count: 128
106.12.104.109	#Count: 128
147.139.7.108	#Count: 123
5.188.62.221	#Count: 108
175.24.97.62	#Count: 99
5.188.62.220	#Count: 95
186.206.147.242	#Count: 95
119.45.54.166	#Count: 80
134.209.67.135	#Count: 76
124.239.149.153	#Count: 70
27.255.81.10	#Count: 69
120.48.0.247	#Count: 66
182.61.52.98	#Count: 64
94.128.25.120	#Count: 60
62.92.48.242	#Count: 58
5.182.39.88	#Count: 53
150.138.114.41	#Count: 50
52.188.113.116	#Count: 48
42.194.148.212	#Count: 46
165.22.222.77	#Count: 44
208.180.16.38	#Count: 43
5.188.62.223	#Count: 40
194.165.16.27	#Count: 40
141.98.81.154	#Count: 40
5.188.62.240	#Count: 37
58.222.239.225	#Count: 33
47.250.47.3	#Count: 27
193.105.134.45	#Count: 27
81.69.19.79	#Count: 26
5.182.39.25	#Count: 24
45.227.255.157	#Count: 21
195.3.147.47	#Count: 21
45.227.255.204	#Count: 18
185.36.81.186	#Count: 12
45.227.255.158	#Count: 10
45.227.255.201	#Count: 8
138.68.138.162	#Count: 8
129.152.141.71	#Count: 8
27.73.105.32	#Count: 5
171.239.252.203	#Count: 5
185.232.67.38	#Count: 4
94.242.26.158	#Count: 3
218.92.0.201	#Count: 3
116.105.199.137	#Count: 3
99.184.69.177	#Count: 2
99.152.118.172	#Count: 2
93.21.230.71	#Count: 2
92.221.141.145	#Count: 2
89.179.122.7	#Count: 2
81.71.91.156	#Count: 2
77.74.54.201	#Count: 2
77.228.191.118	#Count: 2
76.95.50.98	#Count: 2
49.234.5.191	#Count: 2
47.190.132.213	#Count: 2
46.6.6.170	#Count: 2
46.101.5.100	#Count: 2
45.177.109.244	#Count: 2
45.132.84.108	#Count: 2
2.36.67.194	#Count: 2
211.159.165.137	#Count: 2
203.134.200.190	#Count: 2
201.7.170.1	#Count: 2
195.154.112.39	#Count: 2
195.112.103.55	#Count: 2
193.169.80.68	#Count: 2
192.64.83.51	#Count: 2
191.97.80.7	#Count: 2
190.213.92.57	#Count: 2
189.55.194.94	#Count: 2
187.189.170.122	#Count: 2
185.36.81.184	#Count: 2
182.253.43.24	#Count: 2
181.40.73.86	#Count: 2
178.62.242.125	#Count: 2
170.210.203.215	#Count: 2
165.227.132.129	#Count: 2
162.62.55.157	#Count: 2
147.139.6.110	#Count: 2
14.35.23.165	#Count: 2
143.110.188.7	#Count: 2
139.198.124.102	#Count: 2
134.209.231.248	#Count: 2
134.175.162.171	#Count: 2
129.150.213.85	#Count: 2
122.114.75.180	#Count: 2
122.114.189.77	#Count: 2
120.89.46.180	#Count: 2
109.236.91.85	#Count: 2
106.13.207.135	#Count: 2
104.131.55.236	#Count: 2
101.32.44.108	#Count: 2
93.145.61.6	#Count: 1
89.163.252.230	#Count: 1
85.26.161.182	#Count: 1
78.229.8.113	#Count: 1
5.11.134.152	#Count: 1
49.235.106.245	#Count: 1
45.135.232.165	#Count: 1
42.180.7.6	#Count: 1
194.165.16.105	#Count: 1
185.56.80.65	#Count: 1
185.220.101.211	#Count: 1
185.130.44.108	#Count: 1
165.227.7.187	#Count: 1
162.247.74.201	#Count: 1
154.223.167.99	#Count: 1
140.249.162.22	#Count: 1
134.209.178.106	#Count: 1
122.51.248.76	#Count: 1
120.192.220.221	#Count: 1
116.110.68.228	#Count: 1
104.244.77.122	#Count: 1
104.244.72.115	#Count: 1
103.193.196.22	#Count: 1
103.133.57.250	#Count: 1
