5.188.86.212	#Count: 1270
5.188.62.14	#Count: 1196
5.188.87.57	#Count: 1021
5.188.87.58	#Count: 1007
5.188.86.168	#Count: 949
5.188.86.210	#Count: 939
45.227.255.207	#Count: 898
5.188.86.167	#Count: 891
74.208.154.22	#Count: 881
5.188.86.178	#Count: 842
5.188.87.51	#Count: 841
5.188.86.216	#Count: 792
5.188.87.49	#Count: 786
5.188.86.219	#Count: 767
5.188.86.207	#Count: 749
45.227.255.206	#Count: 719
5.188.86.169	#Count: 707
5.188.86.164	#Count: 671
45.227.255.205	#Count: 667
45.227.255.209	#Count: 621
5.188.62.15	#Count: 604
5.188.86.165	#Count: 588
5.188.86.221	#Count: 572
5.188.86.206	#Count: 567
5.188.87.53	#Count: 349
45.227.255.208	#Count: 348
5.182.39.62	#Count: 198
88.214.26.93	#Count: 190
88.214.26.90	#Count: 182
88.214.26.97	#Count: 164
5.182.39.63	#Count: 164
88.214.26.92	#Count: 159
5.182.39.64	#Count: 131
5.182.39.61	#Count: 105
163.172.175.209	#Count: 90
45.148.10.65	#Count: 68
5.182.39.88	#Count: 53
5.182.39.185	#Count: 48
176.117.195.128	#Count: 45
167.71.109.96	#Count: 43
195.158.8.206	#Count: 41
167.99.170.91	#Count: 41
51.15.170.235	#Count: 39
54.37.156.188	#Count: 38
45.227.255.204	#Count: 38
190.202.124.93	#Count: 38
129.144.183.81	#Count: 38
103.89.176.74	#Count: 38
85.239.35.130	#Count: 37
91.121.211.34	#Count: 36
188.4.85.59	#Count: 36
112.166.159.199	#Count: 36
106.54.36.205	#Count: 35
51.15.118.15	#Count: 34
203.130.242.68	#Count: 33
101.32.77.212	#Count: 33
51.158.118.70	#Count: 32
141.98.81.141	#Count: 32
91.204.199.73	#Count: 31
129.158.74.141	#Count: 31
51.77.226.68	#Count: 29
37.46.150.211	#Count: 28
141.98.81.154	#Count: 27
45.227.255.157	#Count: 16
103.127.108.96	#Count: 13
37.187.101.66	#Count: 12
104.131.60.112	#Count: 11
190.104.245.164	#Count: 10
89.179.122.7	#Count: 9
45.227.255.201	#Count: 9
87.236.52.30	#Count: 8
45.227.255.158	#Count: 8
194.180.224.130	#Count: 8
125.137.236.50	#Count: 8
195.3.147.47	#Count: 7
193.105.134.45	#Count: 7
5.9.117.14	#Count: 6
84.17.59.78	#Count: 4
5.9.89.209	#Count: 4
46.4.81.50	#Count: 4
176.9.111.138	#Count: 4
78.47.166.111	#Count: 3
78.46.46.131	#Count: 3
196.1.97.216	#Count: 3
188.243.183.9	#Count: 3
91.5.107.210	#Count: 2
91.246.3.21	#Count: 2
91.211.124.217	#Count: 2
91.144.20.198	#Count: 2
88.214.26.95	#Count: 2
87.101.94.198	#Count: 2
85.209.0.251	#Count: 2
85.112.43.78	#Count: 2
76.168.51.54	#Count: 2
74.112.143.23	#Count: 2
71.199.148.184	#Count: 2
68.183.89.216	#Count: 2
68.183.219.181	#Count: 2
64.53.14.211	#Count: 2
61.155.169.73	#Count: 2
61.133.232.252	#Count: 2
60.250.164.169	#Count: 2
59.152.62.40	#Count: 2
58.87.78.58	#Count: 2
52.83.79.110	#Count: 2
52.142.9.209	#Count: 2
51.89.136.104	#Count: 2
51.75.32.129	#Count: 2
51.255.172.77	#Count: 2
51.210.182.187	#Count: 2
51.178.47.46	#Count: 2
51.178.137.106	#Count: 2
49.234.138.125	#Count: 2
49.233.128.229	#Count: 2
46.228.205.237	#Count: 2
45.80.65.82	#Count: 2
34.87.115.177	#Count: 2
27.106.33.126	#Count: 2
23.105.196.142	#Count: 2
220.186.129.15	#Count: 2
220.121.58.55	#Count: 2
219.136.249.151	#Count: 2
216.80.102.155	#Count: 2
212.64.95.187	#Count: 2
209.65.68.190	#Count: 2
207.154.194.3	#Count: 2
203.189.253.172	#Count: 2
202.70.72.217	#Count: 2
202.147.192.242	#Count: 2
200.140.234.142	#Count: 2
191.234.182.188	#Count: 2
190.25.49.114	#Count: 2
189.8.108.50	#Count: 2
189.4.3.45	#Count: 2
187.149.137.250	#Count: 2
183.207.182.58	#Count: 2
182.61.33.145	#Count: 2
180.89.58.27	#Count: 2
180.76.51.143	#Count: 2
178.135.60.49	#Count: 2
178.128.169.8	#Count: 2
175.24.107.214	#Count: 2
175.24.102.249	#Count: 2
167.71.72.70	#Count: 2
167.71.215.182	#Count: 2
165.22.104.67	#Count: 2
164.90.217.167	#Count: 2
161.35.122.197	#Count: 2
160.16.222.61	#Count: 2
157.245.70.68	#Count: 2
154.213.22.19	#Count: 2
154.209.228.205	#Count: 2
154.113.1.142	#Count: 2
153.126.187.46	#Count: 2
152.231.93.130	#Count: 2
150.95.148.208	#Count: 2
149.202.190.73	#Count: 2
148.66.132.190	#Count: 2
144.34.193.3	#Count: 2
144.217.85.4	#Count: 2
142.93.57.255	#Count: 2
142.93.147.90	#Count: 2
141.98.9.32	#Count: 2
141.98.9.163	#Count: 2
140.238.248.248	#Count: 2
140.143.199.89	#Count: 2
140.143.1.207	#Count: 2
139.99.40.44	#Count: 2
139.59.40.240	#Count: 2
139.59.169.103	#Count: 2
139.199.123.152	#Count: 2
139.150.79.164	#Count: 2
134.209.83.43	#Count: 2
134.209.102.44	#Count: 2
134.175.55.42	#Count: 2
129.226.61.157	#Count: 2
129.211.28.16	#Count: 2
128.199.224.183	#Count: 2
125.94.117.128	#Count: 2
123.207.121.169	#Count: 2
122.51.34.199	#Count: 2
122.51.221.184	#Count: 2
122.51.178.207	#Count: 2
